id,sentence,is_scientific,confidence,justification,model
1b93dc287ac459b262804a4602d4046417846629,1-liter_spherical,True,0.980,The term combines a precise unit of volume ('1-liter') with a geometric descriptor ('spherical'). Both are fundamental concepts frequently used in scientific and engineering disciplines to describe objects or systems.,gemini-2.5-flash
167e349c7c3c3036ca784c343a8b1798b8f31c30,acid_concentration,True,0.990,"This term directly refers to a quantitative measure of a chemical substance, fundamental to chemistry and related scientific disciplines. Both 'acid' and 'concentration' are core scientific concepts.",gemini-2.5-flash
40bca541a268f378806aad8acdb3e9c08452fd35,125i_glucagon,True,1.000,"The term '125i' refers to the radioisotope Iodine-125, commonly used in scientific labeling. 'Glucagon' is a well-known peptide hormone, central to biochemistry and physiology.",gemini-2.5-flash
08d25697048203b382c110af559ed1fb2d25a8e6,1a_oxocarbonium1b,True,1.000,"The term 'oxocarbonium' is a specific chemical ion, and the '1a' and '1b' prefixes are common scientific identifiers used to denote specific forms or positions. This combination unequivocally places the term within a scientific context.",gemini-2.5-flash
730544ae76b762a741d0f2d0db5de6ed7eb0d3e4,1bile_fistula,True,0.980,"Both 'bile' and 'fistula' are specific medical and biological terms. Their combination describes a pathological condition, firmly placing it within the scientific domain of medicine.",gemini-2.5-flash
688facea9cbc7c958b64f43cba008b05f9ea464a,1p222_2p22,True,0.980,"The term '1p222_2p22' strongly resembles notation for chromosomal locations or genetic loci (e.g., 1p22.2, 2p22). This type of nomenclature is exclusively used within the fields of genetics and molecular biology, which are core scientific disciplines.",gemini-2.5-flash
647a39e411ae384163066ce36e937e73701cfebd,1s_hydrogen,True,1.000,"This term refers to the 1s electron orbital of a hydrogen atom, a fundamental concept in quantum mechanics, atomic physics, and chemistry. It is a specific and technical descriptor used exclusively within scientific disciplines.",gemini-2.5-flash
a915c3d944553164d054ce5d9f7658c9f096e540,2-fold_rotation,True,1.000,"This is a precise term in crystallography and group theory, describing a specific symmetry operation (180-degree rotation). It is fundamental to understanding crystal structures and molecular symmetry.",gemini-2.5-flash
77b8c3d068046bb4b8140961a49a31a2fdd2fe19,2-fold_symmetry,True,1.000,"This term is a precise descriptor used in crystallography, geometry, and physics to denote a specific type of rotational or reflective symmetry. It is a fundamental concept in the study of structures and patterns within STEM fields.",gemini-2.5-flash
b0b7abdea35f2ae08e9ae484821d60a0baa86a3b,2-pyrrolidone-5-carboxylyl-histidyl-proline_amide,True,1.000,"The term employs precise chemical nomenclature, including specific organic compounds (pyrrolidone), functional groups (carboxylyl, amide), and amino acid residues (histidyl, proline). This highly specific terminology is characteristic of chemistry and biochemistry, placing it firmly within a scientific domain.",gemini-2.5-flash
246164215310276c1b2e689ac745129fa8db46d3,20-foot_horn-reflector,True,0.990,"This term describes a specific type of antenna, a technical device fundamental to fields like electrical engineering and radio astronomy. Its nature is inherently scientific and engineering-related.",gemini-2.5-flash
04db91d1124ca1826bb49f4451bc09b6376b620e,26s_rrna-coding,True,0.990,"The term '26s_rrna-coding' employs specific biological nomenclature ('26S', 'rRNA') and describes a molecular genetic process. These are highly technical terms used exclusively within scientific disciplines like molecular biology and genetics.",gemini-2.5-flash
45d255c8bb7210ba11ac66259bcd617325fc0c45,2p22_3p12,True,1.000,"This notation, combining numbers and 'p', is characteristic of electron configurations or quantum state descriptions in chemistry and physics, representing specific orbitals and energy levels. It is a highly specialized scientific term.",gemini-2.5-flash
dbaa5e5194b676250f24eed89aef66ebaa498c04,2p_carbon,True,0.990,"2p denotes an electron orbital, a fundamental concept in quantum chemistry and atomic physics. Carbon is a chemical element, and the term directly relates to atomic structure and electron configuration, making it highly scientific.",gemini-2.5-flash
fd433d240d23b8e61525e7c19310246ae41c08ef,3-hydroxy-3-methylglutaryl_coenzyme,True,1.000,"This is the precise chemical name for a molecule, specifically an intermediate in biochemical pathways. It is a highly technical term used in chemistry and biology.",gemini-2.5-flash
31909558ce9af1fa4617c91b4dc53226e4eeecd7,30-gev_alternating-gradient,True,0.980,"The term 'GeV' (Giga-electronvolt) is a standard unit of energy in particle physics, and 'alternating-gradient' refers to a specific focusing technique used in particle accelerators. Both components are highly technical and specific to scientific and engineering fields.",gemini-2.5-flash
632c96c715f9fdf39ffbacd32f5ad95d9e110085,32p_label,True,0.990,"32p refers to Phosphorus-32, a radioactive isotope, and 'label' denotes a scientific technique of attaching a marker. This term is standard in molecular biology for radioactive labeling.",gemini-2.5-flash
c5e13184ed7b8bd48e857f5a7fd277543c8993f6,3a_resolution,True,0.950,"The term '3a_resolution' refers to 3 angstrom resolution, a standard metric in scientific fields like crystallography and microscopy to denote the level of detail in an image or structure. It is a highly specific technical term used within STEM disciplines.",gemini-2.5-flash
82a26506b75920d4e0884df31a8e0bbab47ec97a,3p12_3p22,True,0.950,"The term uses a notation (number-letter-number) highly characteristic of electron configurations or atomic orbitals in chemistry and physics. While the specific electron counts (12, 22) are unusual for a 'p' subshell, the format itself is exclusively scientific.",gemini-2.5-flash
24885a61c67daea5a81d870ade37b39575e02a37,5-hydroxy_acid,True,1.000,This term is a specific chemical nomenclature referring to an organic acid with a hydroxyl group at the fifth carbon position. It is standard terminology in chemistry and biochemistry.,gemini-2.5-flash
f8e0a160efb3aae2273994cc13a77afd7dbeddf7,5-monohydroxy_acid,True,0.990,"The term employs specific chemical nomenclature (mono-, hydroxy-, acid) and a positional indicator (5-), which are characteristic of chemical or biochemical terminology.",gemini-2.5-flash
f6d0da48a51bfdf5b9b4fe1dd21115c7251a4f5f,51cr-labelled_fibroblast,True,1.000,"The term combines a specific radioisotope (51Cr) with a biological cell type (fibroblast) and a scientific technique (labelling). This directly relates to fields such as cell biology, nuclear medicine, and biochemistry, indicating a highly specialized scientific context.",gemini-2.5-flash
